id,Rank,Type,Name,Expert Number,Expert Number Description,Gender,Extra Language Skills,R-test Score,PT Score,Year of Service,Deployment Service Year,Military Course,KPI from Supervisor,KPI from Peers,KPI from Subordinate,Active Duty Day in One Year,Number of Mission Assigned,Number of Mission Succeed,Rate of Success,Timelines,UN English Test Score,UN Knowledge Test Score,Timeliness_normalize,Deployment_experience_score,Language_skill_score,Rate_of_success_100_scale,UNMEM_Mission_success_score,UNSO_Mission_success_score
U0012,จ่าสิบโท,ประทวน,วรัญญา สุขสำราญ,3,งานยุทธการ,Female,,70,59,6,0,,85,73,86,303,16,8,50.00%,ไม่ทันเวลา,71.0,68.0,1,1,1,50.0,62.3,62.9
U0013,ร้อยโท,สัญญาบัตร,เอกภพ งามสง่า,5,งานกิจการพลเรือน,Male,,81,94,8,0,สงครามพิเศษ,93,65,79,352,11,6,54.55%,ทันเวลา,78.0,80.0,100,1,1,54.0,75.2,74.4
U0014,สิบตรี,ประทวน,พชรพล ดีพร้อม,4,งานส่งกำลังบำรุง,Male,,51,32,3,1,,69,70,51,337,2,1,50.00%,ทันเวลา,25.0,35.0,100,100,1,50.0,46.42,44.09
U0015,จ่าสิบเอก,ประทวน,ชลธิชา ศรีสุข,6,งานการสื่อสาร,Female,,66,82,14,0,,80,78,76,346,18,9,50.00%,ทันเวลา,63.0,61.0,100,1,1,50.0,65.7,64.75
U0016,พันตรี,สัญญาบัตร,ธนกร รุ่งเรือง,8,งานการแพทย์,Male,,91,73,11,3,"เสนาธิการทหาร, EOD",94,89,91,325,17,14,82.35%,ทันเวลา,86.0,84.0,100,100,1,82.0,84.57,83.24
U0017,สิบโท,ประทวน,กมลวรรณ เจริญสุข,2,งานการข่าว,Female,,60,50,5,0,,72,77,66,361,7,4,57.14%,ทันเวลา,50.0,52.0,100,1,1,57.0,56.95,56.95
U0018,ร้อยตรี,สัญญาบัตร,ปภาวินท์ มั่นคง,9,งานด้านไซเบอร์,Male,,75,80,4,3,การรบแบบจู่โจม,87,70,82,305,10,7,70.00%,ทันเวลา,70.0,71.0,100,100,1,70.0,74.57,72.09
U0019,จ่าสิบโท,ประทวน,ศุภนิดา พัฒนาสุข,7,การด้านการเงิน,Female,,69,68,9,2,,82,75,70,341,13,7,53.85%,ทันเวลา,58.0,60.0,100,100,1,53.0,65.92,63.44
U0020,สิบเอก,ประทวน,พีรวิชญ์ สุขสำราญ,3,งานยุทธการ,Male,,56,38,2,3,,60,63,55,317,0,0,0.00%,ไม่ทันเวลา,20.0,28.0,1,100,1,0.0,32.92,30.04
U0021,พันเอก,สัญญาบัตร,ณัฐวุฒิ งามสง่า,5,งานกิจการพลเรือน,Male,,97,90,15,0,"เสนาธิการทหาร, สงครามพิเศษ",99,96,98,301,20,18,90.00%,ทันเวลา,98.0,95.0,100,1,1,90.0,90.8,91.2
U0022,ร้อยโท,สัญญาบัตร,วิชญ์พล ดีพร้อม,1,งานกำลังพล,Male,,84,72,7,0,ล่ามทางทหาร,89,84,80,358,16,9,56.25%,ทันเวลา,79.0,75.0,100,1,1,56.0,73.7,74.05
U0023,สิบตรี,ประทวน,ธนัชพร ศรีสุข,8,งานการแพทย์,Female,,52,28,1,0,,63,60,50,333,4,2,50.00%,ทันเวลา,35.0,40.0,100,1,1,50.0,44.65,45.0
U0024,จ่าสิบเอก,ประทวน,วริศรา รุ่งเรือง,4,งานส่งกำลังบำรุง,Female,,67,76,12,0,,81,79,75,342,15,8,53.33%,ทันเวลา,66.0,63.0,100,1,1,53.0,66.65,66.15
U0025,พันโท,สัญญาบัตร,คุณากร เจริญสุข,6,งานการสื่อสาร,Male,,94,87,14,1,"เสนาธิการทหาร, การรบแบบจู่โจม",97,91,95,313,19,16,84.21%,ทันเวลา,90.0,87.0,100,100,1,84.0,88.42,86.59
U0026,ร้อยเอก,สัญญาบัตร,ธัญชนก มั่นคง,2,งานการข่าว,Female,,80,69,9,3,EOD,86,80,83,354,12,7,58.33%,ทันเวลา,73.0,70.0,100,100,1,58.0,73.57,71.79
U0027,สิบโท,ประทวน,ณัฐดนัย พัฒนาสุข,9,งานด้านไซเบอร์,Male,,55,30,6,0,,60,65,52,326,5,3,60.00%,ไม่ทันเวลา,28.0,38.0,1,1,1,60.0,39.3,39.2
U0028,จ่าสิบตรี,ประทวน,อริสรา สุขสำราญ,7,การด้านการเงิน,Female,,72,75,10,3,,83,78,74,338,11,6,54.55%,ทันเวลา,62.0,60.0,100,100,1,54.0,68.12,65.49
U0029,ร้อยตรี,สัญญาบัตร,วิศรุต งามสง่า,3,งานยุทธการ,Male,,66,88,3,3,สงครามพิเศษ,80,68,78,309,9,5,55.56%,ทันเวลา,69.0,70.0,100,100,1,55.0,72.32,69.39
U0030,สิบเอก,ประทวน,อาทิตยา ดีพร้อม,5,งานกิจการพลเรือน,Female,,50,20,1,3,,55,50,58,363,0,0,0.00%,ทันเวลา,5.0,15.0,100,100,1,0.0,28.17,25.44
U0031,ร้อยตรี,สัญญาบัตร,ปวริศา ศรีสุข,8,งานการแพทย์,Female,,73,78,5,0,การรบแบบจู่โจม,90,87,83,345,11,7,63.64%,ทันเวลา,72.0,69.0,100,1,1,63.0,72.65,72.35
U0032,จ่าสิบโท,ประทวน,อัครวินท์ รุ่งเรือง,1,งานกำลังพล,Male,,64,61,9,3,,76,70,72,306,16,8,50.00%,ทันเวลา,52.0,58.0,100,100,1,50.0,62.22,59.79
U0033,พันตรี,สัญญาบัตร,ภัทรพล เจริญสุข,3,งานยุทธการ,Male,Chinese,88,90,12,0,"เสนาธิการทหาร, สงครามพิเศษ",93,88,90,351,14,12,85.71%,ทันเวลา,85.0,87.0,100,1,100,85.0,85.88,87.61
U0034,สิบโท,ประทวน,มนัสวี มั่นคง,5,งานกิจการพลเรือน,Female,,60,75,2,1,,65,60,70,332,6,3,50.00%,ทันเวลา,40.0,43.0,100,100,1,50.0,55.27,51.54
U0035,ร้อยเอก,สัญญาบัตร,พงษ์ภรณ์ พัฒนาสุข,4,งานส่งกำลังบำรุง,Male,Russian,83,85,11,3,ล่ามทางทหาร,87,82,85,347,10,6,60.00%,ทันเวลา,78.0,75.0,100,100,100,60.0,80.0,79.65
U0036,สิบตรี,ประทวน,ณัฐกานต์ สุขสำราญ,6,งานการสื่อสาร,Female,,56,40,3,3,,60,55,58,318,2,1,50.00%,ไม่ทันเวลา,28.0,32.0,1,100,1,50.0,40.07,37.49
U0037,พันเอก,สัญญาบัตร,ชญาภา งามสง่า,2,งานการข่าว,Female,Japanese,96,89,15,2,"เสนาธิการทหาร, EOD",98,92,95,302,17,15,88.24%,ทันเวลา,92.0,90.0,100,100,100,88.0,92.35,92.5
U0038,จ่าสิบตรี,ประทวน,วีรภัทร ดีพร้อม,9,งานด้านไซเบอร์,Male,,61,50,8,3,,68,65,60,365,1,1,100.00%,ทันเวลา,55.0,50.0,100,100,1,10.0,53.82,52.09
U0039,ร้อยตรี,สัญญาบัตร,ศิริพร ศรีสุข,8,งานการแพทย์,Female,,70,82,4,3,การรบแบบจู่โจม,85,78,80,312,9,5,55.56%,ทันเวลา,68.0,70.0,100,100,1,55.0,73.12,70.44
U0040,สิบเอก,ประทวน,ธนภัทร รุ่งเรือง,7,การด้านการเงิน,Male,,52,22,2,2,,65,60,53,327,0,0,0.00%,ทันเวลา,18.0,25.0,100,100,1,0.0,35.22,33.04
U0041,พันโท,สัญญาบัตร,กัญญาวีร์ เจริญสุข,1,งานกำลังพล,Female,,95,78,13,0,"เสนาธิการทหาร, ล่ามทางทหาร",97,88,89,316,16,14,87.50%,ทันเวลา,91.0,85.0,100,1,1,87.0,83.95,84.6
U0042,จ่าสิบโท,ประทวน,กิตติภพ มั่นคง,3,งานยุทธการ,Male,,69,60,7,1,,80,72,78,304,12,6,50.00%,ไม่ทันเวลา,65.0,60.0,1,100,1,50.0,61.17,59.44
U0043,ร้อยโท,สัญญาบัตร,พิมพ์นารา พัฒนาสุข,5,งานกิจการพลเรือน,Female,,80,92,9,2,สงครามพิเศษ,92,68,76,353,10,5,50.00%,ทันเวลา,75.0,78.0,100,100,1,50.0,76.52,73.69
U0044,สิบตรี,ประทวน,วุฒิชัย สุขสำราญ,4,งานส่งกำลังบำรุง,Male,,50,30,1,3,,62,65,50,336,3,2,66.67%,ทันเวลา,20.0,30.0,100,100,1,66.0,44.32,41.84
U0045,จ่าสิบเอก,ประทวน,ญาณิศา งามสง่า,6,งานการสื่อสาร,Female,,65,80,11,3,,78,75,73,343,17,9,52.94%,ทันเวลา,60.0,62.0,100,100,1,52.0,67.67,64.69
U0046,พันตรี,สัญญาบัตร,ธนภูมิ ดีพร้อม,8,งานการแพทย์,Male,,90,70,12,0,"เสนาธิการทหาร, EOD",92,85,88,324,18,15,83.33%,ทันเวลา,83.0,80.0,100,1,1,83.0,79.05,79.7
U0047,สิบโท,ประทวน,พัชรพร ศรีสุข,2,งานการข่าว,Female,,59,48,6,3,,70,75,65,360,8,4,50.00%,ทันเวลา,48.0,50.0,100,100,1,50.0,57.67,55.69
U0048,ร้อยตรี,สัญญาบัตร,อธิป รุ่งเรือง,9,งานด้านไซเบอร์,Male,,74,78,3,1,การรบแบบจู่โจม,85,69,80,308,11,7,63.64%,ทันเวลา,65.0,68.0,100,100,1,63.0,71.52,68.89
U0049,จ่าสิบโท,ประทวน,ชนกชนม์ เจริญสุข,7,การด้านการเงิน,Female,,67,65,10,2,,80,73,75,340,14,7,50.00%,ทันเวลา,56.0,58.0,100,100,1,50.0,64.27,61.84
U0050,สิบเอก,ประทวน,กวินท์ มั่นคง,3,งานยุทธการ,Male,,53,25,1,2,,58,60,50,319,0,0,0.00%,ไม่ทันเวลา,15.0,20.0,1,100,1,0.0,27.87,25.39
U0051,พันเอก,สัญญาบัตร,วริศรา พัฒนาสุข,5,งานกิจการพลเรือน,Female,,98,91,15,3,"เสนาธิการทหาร, สงครามพิเศษ",99,95,96,300,20,19,95.00%,ทันเวลา,96.0,93.0,100,100,1,95.0,93.27,91.54
U0052,ร้อยโท,สัญญาบัตร,ธนวินท์ สุขสำราญ,1,งานกำลังพล,Male,,82,70,8,3,ล่ามทางทหาร,88,83,79,356,15,8,53.33%,ทันเวลา,77.0,73.0,100,100,1,53.0,75.02,73.39
U0053,สิบตรี,ประทวน,ธนัชพร งามสง่า,8,งานการแพทย์,Female,,50,20,1,2,,60,55,50,330,5,3,60.00%,ทันเวลา,30.0,35.0,100,100,1,60.0,44.77,43.29
U0054,จ่าสิบเอก,ประทวน,สิริกร ดีพร้อม,4,งานส่งกำลังบำรุง,Female,,65,75,13,3,,79,77,72,344,14,7,50.00%,ทันเวลา,64.0,60.0,100,100,1,50.0,67.52,64.99
U0055,พันตรี,สัญญาบัตร,พีรวิชญ์ ศรีสุข,6,งานการสื่อสาร,Male,,93,85,11,0,"เสนาธิการทหาร, การรบแบบจู่โจม",95,89,92,314,18,16,88.89%,ทันเวลา,89.0,86.0,100,1,1,88.0,84.65,84.85
U0056,ร้อยเอก,สัญญาบัตร,กัญญาวีร์ รุ่งเรือง,2,งานการข่าว,Female,,78,68,9,2,EOD,84,78,81,355,11,6,54.55%,ทันเวลา,70.0,72.0,100,100,1,54.0,72.47,70.59
U0057,สิบโท,ประทวน,กิตติภพ เจริญสุข,9,งานด้านไซเบอร์,Male,,54,35,5,1,,58,62,50,325,4,2,50.00%,ไม่ทันเวลา,25.0,30.0,1,100,1,50.0,38.57,36.09
U0058,จ่าสิบตรี,ประทวน,พิมพ์นารา มั่นคง,7,การด้านการเงิน,Female,,69,67,9,0,,81,74,73,339,13,7,53.85%,ทันเวลา,55.0,57.0,100,1,1,53.0,61.45,60.85
U0059,ร้อยตรี,สัญญาบัตร,วุฒิชัย พัฒนาสุข,3,งานยุทธการ,Male,,65,86,2,2,สงครามพิเศษ,78,65,75,308,8,4,50.00%,ทันเวลา,68.0,69.0,100,100,1,50.0,70.52,67.64
U0060,สิบเอก,ประทวน,ญาณิศา สุขสำราญ,5,งานกิจการพลเรือน,Female,,50,20,1,2,,50,55,50,361,0,0,0.00%,ทันเวลา,10.0,18.0,100,100,1,0.0,29.52,27.04
U0061,พันเอก,สัญญาบัตร,ธนภูมิ งามสง่า,8,งานการแพทย์,Male,,97,90,15,1,"เสนาธิการทหาร, EOD",98,94,97,301,20,19,95.00%,ทันเวลา,95.0,92.0,100,100,1,95.0,92.57,90.84
U0062,ร้อยโท,สัญญาบัตร,พัชรพร ดีพร้อม,1,งานกำลังพล,Male,,81,70,7,0,ล่ามทางทหาร,87,80,78,357,15,8,53.33%,ทันเวลา,76.0,72.0,100,1,1,53.0,71.15,71.45
U0063,สิบตรี,ประทวน,อธิป ศรีสุข,4,งานส่งกำลังบำรุง,Male,,52,25,2,3,,62,58,50,329,3,2,66.67%,ทันเวลา,25.0,30.0,100,100,1,66.0,44.12,42.14
U0064,จ่าสิบเอก,ประทวน,ชนกชนม์ รุ่งเรือง,6,งานการสื่อสาร,Female,,66,78,12,1,,77,74,70,341,16,8,50.00%,ทันเวลา,58.0,60.0,100,100,1,50.0,66.02,63.04
U0065,พันตรี,สัญญาบัตร,กวินท์ เจริญสุข,9,งานด้านไซเบอร์,Male,,94,88,10,2,"เสนาธิการทหาร, การรบแบบจู่โจม",96,90,93,311,17,15,88.24%,ทันเวลา,88.0,85.0,100,100,1,88.0,87.72,85.74
U0066,ร้อยเอก,สัญญาบัตร,วริศรา มั่นคง,7,การด้านการเงิน,Female,,79,65,9,3,สงครามพิเศษ,85,79,82,352,10,6,60.00%,ทันเวลา,70.0,75.0,100,100,1,60.0,73.77,72.04
U0067,สิบโท,ประทวน,ธนวินท์ พัฒนาสุข,3,งานยุทธการ,Male,,55,30,1,2,,57,60,50,323,0,0,0.00%,ไม่ทันเวลา,10.0,18.0,1,100,1,0.0,26.77,23.79
U0068,จ่าสิบตรี,ประทวน,สิริกร สุขสำราญ,5,งานกิจการพลเรือน,Female,,68,72,11,2,,80,75,70,345,15,8,53.33%,ทันเวลา,62.0,65.0,100,100,1,53.0,68.17,65.69
U0069,ร้อยตรี,สัญญาบัตร,พีรวิชญ์ งามสง่า,1,งานกำลังพล,Male,,64,85,4,0,EOD,75,65,75,310,7,4,57.14%,ทันเวลา,60.0,62.0,100,1,1,57.0,64.5,63.25
U0070,สิบเอก,ประทวน,กัญญาวีร์ ดีพร้อม,8,งานการแพทย์,Female,,50,20,1,3,,50,50,50,360,0,0,0.00%,ทันเวลา,10.0,15.0,100,100,1,0.0,28.27,25.79
U0071,พันเอก,สัญญาบัตร,กิตติภพ ศรีสุข,2,งานการข่าว,Male,,97,90,15,2,"เสนาธิการทหาร, ล่ามทางทหาร",98,93,97,300,19,17,89.47%,ทันเวลา,95.0,92.0,100,100,1,89.0,91.87,90.14
U0072,ร้อยโท,สัญญาบัตร,พิมพ์นารา รุ่งเรือง,9,งานด้านไซเบอร์,Female,,80,68,8,1,การรบแบบจู่โจม,87,82,80,359,12,7,58.33%,ทันเวลา,75.0,70.0,100,100,1,58.0,74.02,72.39
U0073,สิบตรี,ประทวน,วุฒิชัย เจริญสุข,7,การด้านการเงิน,Male,,55,32,2,3,,60,55,50,320,3,2,66.67%,ไม่ทันเวลา,20.0,28.0,1,100,1,66.0,37.87,35.29
U0074,จ่าสิบเอก,ประทวน,ญาณิศา มั่นคง,3,งานยุทธการ,Female,,67,70,12,1,,79,76,70,342,16,8,50.00%,ทันเวลา,60.0,65.0,100,100,1,50.0,67.27,64.79
U0075,พันตรี,สัญญาบัตร,ธนภูมิ พัฒนาสุข,5,งานกิจการพลเรือน,Male,,92,85,10,1,"เสนาธิการทหาร, สงครามพิเศษ",94,88,90,312,17,15,88.24%,ทันเวลา,88.0,85.0,100,100,1,88.0,86.87,85.04
U0076,ร้อยเอก,สัญญาบัตร,พัชรพร สุขสำราญ,1,งานกำลังพล,Male,,77,65,9,3,ล่ามทางทหาร,83,77,80,353,14,7,50.00%,ทันเวลา,70.0,72.0,100,100,1,50.0,71.52,69.79
U0077,สิบโท,ประทวน,อธิป งามสง่า,8,งานการแพทย์,Female,,51,20,1,1,,55,50,50,330,6,3,50.00%,ทันเวลา,30.0,35.0,100,100,1,50.0,42.77,41.29
U0078,จ่าสิบตรี,ประทวน,ชนกชนม์ ดีพร้อม,6,งานการสื่อสาร,Male,,64,75,7,3,,75,72,68,348,10,5,50.00%,ทันเวลา,55.0,58.0,100,100,1,50.0,64.12,61.14
U0079,พันเอก,สัญญาบัตร,กวินท์ ศรีสุข,4,งานส่งกำลังบำรุง,Male,,96,88,15,1,"เสนาธิการทหาร, EOD",98,92,95,300,20,18,90.00%,ทันเวลา,95.0,92.0,100,100,1,90.0,91.57,89.94
U0080,สิบตรี,ประทวน,ธนวินท์ เจริญสุข,7,การด้านการเงิน,Male,,50,25,1,3,,50,55,50,320,1,1,100.00%,ไม่ทันเวลา,10.0,15.0,1,100,1,10.0,25.32,22.59
U0081,จ่าสิบเอก,ประทวน,สิริกร มั่นคง,3,งานยุทธการ,Female,,68,72,11,3,,80,75,70,343,15,8,53.33%,ทันเวลา,62.0,65.0,100,100,1,53.0,68.17,65.69
U0082,พันตรี,สัญญาบัตร,พีรวิชญ์ พัฒนาสุข,5,งานกิจการพลเรือน,Male,,91,82,10,0,"เสนาธิการทหาร, ล่ามทางทหาร",93,87,89,315,16,14,87.50%,ทันเวลา,85.0,88.0,100,1,1,87.0,83.4,83.55
U0083,ร้อยเอก,สัญญาบัตร,กัญญาวีร์ สุขสำราญ,1,งานกำลังพล,Female,,76,68,9,0,EOD,82,76,79,353,10,5,50.00%,ทันเวลา,68.0,70.0,100,1,1,50.0,67.7,67.7
U0084,สิบโท,ประทวน,กิตติภพ งามสง่า,8,งานการแพทย์,Male,,50,20,1,3,,50,50,50,330,7,4,57.14%,ทันเวลา,35.0,40.0,100,100,1,57.0,45.22,43.99
U0085,จ่าสิบตรี,ประทวน,พิมพ์นารา ดีพร้อม,6,งานการสื่อสาร,Female,,63,72,6,1,,74,70,68,346,12,6,50.00%,ทันเวลา,50.0,55.0,100,100,1,50.0,61.77,58.69
U0086,พันเอก,สัญญาบัตร,วุฒิชัย ศรีสุข,4,งานส่งกำลังบำรุง,Male,,97,89,15,2,"เสนาธิการทหาร, สงครามพิเศษ",99,93,97,301,20,19,95.00%,ทันเวลา,96.0,93.0,100,100,1,95.0,92.92,91.29
U0087,ร้อยโท,สัญญาบัตร,ญาณิศา รุ่งเรือง,2,งานการข่าว,Female,,81,67,7,3,ล่ามทางทหาร,87,82,78,358,14,7,50.00%,ทันเวลา,75.0,70.0,100,100,1,50.0,73.02,71.44
U0088,สิบตรี,ประทวน,ธนภูมิ เจริญสุข,9,งานด้านไซเบอร์,Male,,52,28,2,2,,60,55,50,322,2,1,50.00%,ไม่ทันเวลา,20.0,25.0,1,100,1,50.0,35.12,32.74
U0089,จ่าสิบเอก,ประทวน,พัชรพร มั่นคง,7,การด้านการเงิน,Female,,66,70,10,3,,79,73,74,342,13,7,53.85%,ทันเวลา,58.0,60.0,100,100,1,53.0,65.82,63.24
U0090,ร้อยตรี,สัญญาบัตร,อธิป พัฒนาสุข,3,งานยุทธการ,Male,,63,85,3,1,การรบแบบจู่โจม,77,65,75,309,9,5,55.56%,ทันเวลา,68.0,69.0,100,100,1,55.0,70.82,67.99
U0091,สิบเอก,ประทวน,ชนกชนม์ สุขสำราญ,5,งานกิจการพลเรือน,Female,,50,20,1,3,,50,50,50,362,0,0,0.00%,ทันเวลา,5.0,10.0,100,100,1,0.0,26.02,23.29
U0092,พันโท,สัญญาบัตร,กวินท์ งามสง่า,8,งานการแพทย์,Male,,95,88,14,0,"เสนาธิการทหาร, EOD",97,91,94,310,18,16,88.89%,ทันเวลา,92.0,89.0,100,1,1,88.0,86.8,87.0
U0093,ร้อยเอก,สัญญาบัตร,วริศรา ดีพร้อม,1,งานกำลังพล,Male,,77,65,9,2,ล่ามทางทหาร,83,78,80,351,12,6,50.00%,ทันเวลา,70.0,72.0,100,100,1,50.0,71.62,69.89
U0094,สิบโท,ประทวน,ธนวินท์ ศรีสุข,4,งานส่งกำลังบำรุง,Female,,51,25,2,0,,55,50,50,331,4,2,50.00%,ทันเวลา,25.0,30.0,100,1,1,50.0,38.05,38.05
U0095,จ่าสิบตรี,ประทวน,สิริกร รุ่งเรือง,6,งานการสื่อสาร,Male,,64,75,7,2,,75,70,68,347,11,6,54.55%,ทันเวลา,55.0,58.0,100,100,1,54.0,64.32,61.34
U0096,พันเอก,สัญญาบัตร,พีรวิชญ์ เจริญสุข,9,งานด้านไซเบอร์,Male,,96,89,15,2,"เสนาธิการทหาร, การรบแบบจู่โจม",98,92,95,300,19,17,89.47%,ทันเวลา,95.0,92.0,100,100,1,89.0,91.57,89.89
U0097,ร้อยโท,สัญญาบัตร,กัญญาวีร์ มั่นคง,7,การด้านการเงิน,Female,,80,68,8,1,สงครามพิเศษ,86,80,83,359,10,5,50.00%,ทันเวลา,75.0,70.0,100,100,1,50.0,73.07,71.44
U0098,สิบตรี,ประทวน,กิตติภพ พัฒนาสุข,3,งานยุทธการ,Male,,55,30,1,3,,57,60,50,321,0,0,0.00%,ไม่ทันเวลา,10.0,18.0,1,100,1,0.0,26.77,23.79
U0099,จ่าสิบเอก,ประทวน,พิมพ์นารา สุขสำราญ,5,งานกิจการพลเรือน,Female,,68,72,12,1,,80,75,70,343,15,8,53.33%,ทันเวลา,62.0,65.0,100,100,1,53.0,68.17,65.69
U0100,ร้อยตรี,สัญญาบัตร,วุฒิชัย งามสง่า,1,งานกำลังพล,Male,,64,85,5,2,EOD,75,65,75,311,8,4,50.00%,ทันเวลา,60.0,62.0,100,100,1,50.0,66.77,63.54
U0101,สิบเอก,ประทวน,ญาณิศา ดีพร้อม,8,งานการแพทย์,Female,,50,20,1,0,,50,50,50,331,7,4,57.14%,ทันเวลา,35.0,40.0,100,1,1,57.0,42.25,43.0
U0102,พันโท,สัญญาบัตร,ธนภูมิ ศรีสุข,2,งานการข่าว,Male,,97,90,14,3,"เสนาธิการทหาร, ล่ามทางทหาร",99,93,97,302,19,17,89.47%,ทันเวลา,95.0,92.0,100,100,1,89.0,91.97,90.24
U0103,ร้อยเอก,สัญญาบัตร,พัชรพร รุ่งเรือง,9,งานด้านไซเบอร์,Female,,81,67,9,1,การรบแบบจู่โจม,87,82,80,357,12,7,58.33%,ทันเวลา,72.0,70.0,100,100,1,58.0,73.32,71.59
U0104,สิบโท,ประทวน,อธิป เจริญสุข,7,การด้านการเงิน,Male,,52,28,2,0,,60,55,50,329,2,1,50.00%,ไม่ทันเวลา,20.0,25.0,1,1,1,50.0,32.15,31.75
U0105,จ่าสิบตรี,ประทวน,ชนกชนม์ มั่นคง,3,งานยุทธการ,Female,,66,70,11,2,,79,76,70,341,15,8,53.33%,ทันเวลา,60.0,62.0,100,100,1,53.0,66.82,64.34
U0106,พันเอก,สัญญาบัตร,กวินท์ พัฒนาสุข,5,งานกิจการพลเรือน,Male,,98,91,15,3,"เสนาธิการทหาร, สงครามพิเศษ",99,95,96,300,20,19,95.00%,ทันเวลา,96.0,93.0,100,100,1,95.0,93.27,91.54
U0107,ร้อยโท,สัญญาบัตร,วริศรา สุขสำราญ,1,งานกำลังพล,Male,,82,70,8,1,ล่ามทางทหาร,88,83,79,356,16,8,50.00%,ทันเวลา,77.0,73.0,100,100,1,50.0,74.72,73.09
U0108,สิบตรี,ประทวน,ธนวินท์ งามสง่า,8,งานการแพทย์,Female,,50,20,1,2,,60,55,50,330,6,3,50.00%,ทันเวลา,30.0,35.0,100,100,1,50.0,43.77,42.29
